strategy,trial,batch,fraction_removed,flow,reachable_pairs,avalanche
random,3,59,0.449409,2823,68250,0
random,3,60,0.45494,2789,66789,0
random,3,61,0.460471,2697,65514,0
random,3,62,0.465918,2668,64614,0
random,3,63,0.471279,2613,63897,1
random,3,64,0.47664,2467,61761,1
random,3,65,0.481916,2404,60350,0
random,3,66,0.487107,2360,59319,0
random,3,67,0.492299,2314,58474,0
random,3,68,0.497404,2280,57448,0
random,3,69,0.50251,2234,55935,0
random,4,0,0,10647,237405,
random,4,1,0.0100417,10397,232274,0
random,4,2,0.0199983,10227,230256,0
random,4,3,0.0298698,10094,227199,0
random,4,4,0.0395711,9777,221835,0
random,4,5,0.0491873,9645,217462,0
random,4,6,0.0587184,9470,211536,0
random,4,7,0.0681644,9343,207592,0
random,4,8,0.0775253,8983,203406,0
random,4,9,0.0868011,8792,199320,0
random,4,10,0.0959918,8627,195488,0
random,4,11,0.105097,8234,191750,0
random,4,12,0.114118,7796,186560,0
random,4,13,0.123053,7617,183486,0
random,4,14,0.131904,7346,178980,0
random,4,15,0.140669,7164,173658,0
random,4,16,0.149264,7052,168912,0
random,4,17,0.157774,6876,164346,0
random,4,18,0.166199,6699,160380,0
random,4,19,0.174538,6632,158895,0
random,4,20,0.182793,6529,155526,0
random,4,21,0.191048,6417,150569,0
random,4,22,0.199217,6289,148200,0
random,4,23,0.207302,6189,145230,0
random,4,24,0.215301,6076,142058,0
random,4,25,0.223215,5975,140208,0
random,4,26,0.231044,5866,138600,0
random,4,27,0.238788,5693,136272,0
random,4,28,0.246447,5572,134190,0
random,4,29,0.254021,5482,131588,0
random,4,30,0.26151,5408,129055,0
random,4,31,0.268913,5310,126808,0
random,4,32,0.276232,5194,123500,0
