null_index,seed,strategy,trials,auc_flow,auc_reachability,intact_flow,intact_pairs
57,20360972,sm_betweenness,1,0.326004,0.350828,12352,237405
58,20360973,random,30,0.575123,0.586034,12410,237405
58,20360973,out_strength,1,0.201315,0.359219,12410,237405
58,20360973,in_strength,1,0.594758,0.629455,12410,237405
58,20360973,betweenness,1,0.34148,0.502217,12410,237405
58,20360973,pagerank,1,0.599918,0.658312,12410,237405
58,20360973,sm_betweenness,1,0.343978,0.358905,12410,237405
59,20360974,random,30,0.5751,0.586576,12410,236741
59,20360974,out_strength,1,0.20117,0.353892,12410,236741
59,20360974,in_strength,1,0.599878,0.630808,12410,236741
59,20360974,betweenness,1,0.341257,0.4888,12410,236741
59,20360974,pagerank,1,0.581985,0.622342,12410,236741
59,20360974,sm_betweenness,1,0.346385,0.361022,12410,236741
60,20360975,random,30,0.575132,0.586101,12332,237405
60,20360975,out_strength,1,0.204232,0.356452,12332,237405
60,20360975,in_strength,1,0.60863,0.650966,12332,237405
60,20360975,betweenness,1,0.342647,0.496713,12332,237405
60,20360975,pagerank,1,0.589258,0.637264,12332,237405
60,20360975,sm_betweenness,1,0.337252,0.350516,12332,237405
61,20360976,random,30,0.574864,0.585291,12404,237405
61,20360976,out_strength,1,0.201689,0.35512,12404,237405
61,20360976,in_strength,1,0.583124,0.648808,12404,237405
61,20360976,betweenness,1,0.344292,0.492636,12404,237405
61,20360976,pagerank,1,0.597391,0.634518,12404,237405
61,20360976,sm_betweenness,1,0.365938,0.377451,12404,237405
62,20360977,random,30,0.574733,0.585273,12349,237405
62,20360977,out_strength,1,0.20028,0.350824,12349,237405
62,20360977,in_strength,1,0.583888,0.612458,12349,237405
62,20360977,betweenness,1,0.350256,0.506774,12349,237405
62,20360977,pagerank,1,0.60095,0.643348,12349,237405
62,20360977,sm_betweenness,1,0.366123,0.378713,12349,237405
63,20360978,random,30,0.575157,0.58618,12438,236741
63,20360978,out_strength,1,0.202664,0.353976,12438,236741
63,20360978,in_strength,1,0.59952,0.64066,12438,236741
63,20360978,betweenness,1,0.340268,0.496486,12438,236741
63,20360978,pagerank,1,0.589691,0.632871,12438,236741
63,20360978,sm_betweenness,1,0.347424,0.370409,12438,236741
64,20360979,random,30,0.574911,0.58612,12352,237405
64,20360979,out_strength,1,0.202327,0.359905,12352,237405
64,20360979,in_strength,1,0.603506,0.651458,12352,237405
64,20360979,betweenness,1,0.350342,0.504554,12352,237405
64,20360979,pagerank,1,0.595239,0.644749,12352,237405
64,20360979,sm_betweenness,1,0.368958,0.378857,12352,237405
65,20360980,random,30,0.575114,0.586041,12414,237405
65,20360980,out_strength,1,0.205548,0.357493,12414,237405
65,20360980,in_strength,1,0.597124,0.640475,12414,237405
65,20360980,betweenness,1,0.335279,0.488327,12414,237405
65,20360980,pagerank,1,0.606437,0.660031,12414,237405
65,20360980,sm_betweenness,1,0.355052,0.367498,12414,237405
66,20360981,random,30,0.574794,0.585844,12355,237405
66,20360981,out_strength,1,0.202697,0.359028,12355,237405
66,20360981,in_strength,1,0.584995,0.620162,12355,237405
66,20360981,betweenness,1,0.344565,0.501624,12355,237405
66,20360981,pagerank,1,0.592923,0.637532,12355,237405
66,20360981,sm_betweenness,1,0.366126,0.3825,12355,237405
67,20360982,random,30,0.57526,0.58572,12385,237405
67,20360982,out_strength,1,0.203896,0.360728,12385,237405
67,20360982,in_strength,1,0.572434,0.610812,12385,237405
67,20360982,betweenness,1,0.349655,0.499942,12385,237405
67,20360982,pagerank,1,0.60036,0.654998,12385,237405
67,20360982,sm_betweenness,1,0.346491,0.37508,12385,237405
68,20360983,random,30,0.575184,0.585911,12331,237405
68,20360983,out_strength,1,0.202799,0.35445,12331,237405
68,20360983,in_strength,1,0.594483,0.639227,12331,237405
68,20360983,betweenness,1,0.340458,0.498525,12331,237405
68,20360983,pagerank,1,0.586128,0.638341,12331,237405
68,20360983,sm_betweenness,1,0.370859,0.389447,12331,237405
69,20360984,random,30,0.575679,0.585879,12365,237405
69,20360984,out_strength,1,0.203377,0.358489,12365,237405
69,20360984,in_strength,1,0.593311,0.61809,12365,237405
69,20360984,betweenness,1,0.348889,0.498729,12365,237405
69,20360984,pagerank,1,0.585799,0.635251,12365,237405
69,20360984,sm_betweenness,1,0.359258,0.370901,12365,237405
70,20360985,random,30,0.575328,0.58565,12440,237405
70,20360985,out_strength,1,0.201531,0.354219,12440,237405
70,20360985,in_strength,1,0.605817,0.657624,12440,237405
70,20360985,betweenness,1,0.341384,0.492122,12440,237405
70,20360985,pagerank,1,0.595702,0.64047,12440,237405
70,20360985,sm_betweenness,1,0.352861,0.372615,12440,237405
71,20360986,random,30,0.575698,0.585299,12291,237405
71,20360986,out_strength,1,0.203673,0.355649,12291,237405
71,20360986,in_strength,1,0.601182,0.633293,12291,237405
71,20360986,betweenness,1,0.340209,0.494356,12291,237405
71,20360986,pagerank,1,0.59655,0.656712,12291,237405
71,20360986,sm_betweenness,1,0.348308,0.365251,12291,237405
72,20360987,random,30,0.575189,0.585634,12375,237405
72,20360987,out_strength,1,0.201413,0.358697,12375,237405
72,20360987,in_strength,1,0.601871,0.657024,12375,237405
72,20360987,betweenness,1,0.344476,0.482054,12375,237405
72,20360987,pagerank,1,0.582988,0.624177,12375,237405
72,20360987,sm_betweenness,1,0.337923,0.357571,12375,237405
73,20360988,random,30,0.575639,0.58511,12379,237405
73,20360988,out_strength,1,0.203003,0.35682,12379,237405
73,20360988,in_strength,1,0.576837,0.624833,12379,237405
73,20360988,betweenness,1,0.34394,0.494037,12379,237405
73,20360988,pagerank,1,0.59005,0.635851,12379,237405
73,20360988,sm_betweenness,1,0.343209,0.35446,12379,237405
74,20360989,random,30,0.575127,0.585737,12371,237405
74,20360989,out_strength,1,0.200989,0.353686,12371,237405
74,20360989,in_strength,1,0.572208,0.627219,12371,237405
74,20360989,betweenness,1,0.34918,0.504393,12371,237405
74,20360989,pagerank,1,0.604455,0.643108,12371,237405
74,20360989,sm_betweenness,1,0.354571,0.360205,12371,237405
75,20360990,random,30,0.575103,0.586189,12383,237405
75,20360990,out_strength,1,0.204501,0.357082,12383,237405
75,20360990,in_strength,1,0.604306,0.63821,12383,237405
75,20360990,betweenness,1,0.342557,0.503501,12383,237405
75,20360990,pagerank,1,0.605668,0.672288,12383,237405
75,20360990,sm_betweenness,1,0.371016,0.371599,12383,237405
76,20360991,random,30,0.576162,0.586041,12370,237405
76,20360991,out_strength,1,0.204067,0.359764,12370,237405
76,20360991,in_strength,1,0.588974,0.645666,12370,237405
76,20360991,betweenness,1,0.344686,0.494605,12370,237405
76,20360991,pagerank,1,0.606883,0.652964,12370,237405
76,20360991,sm_betweenness,1,0.359078,0.373261,12370,237405
77,20360992,random,30,0.575125,0.585756,12301,237405
77,20360992,out_strength,1,0.202438,0.356789,12301,237405
77,20360992,in_strength,1,0.597699,0.652747,12301,237405
77,20360992,betweenness,1,0.344503,0.496787,12301,237405
77,20360992,pagerank,1,0.590146,0.634763,12301,237405
77,20360992,sm_betweenness,1,0.359774,0.363772,12301,237405
